(Copenhagen,hi,671.6693411851306)
(Tasmania,lo,61.904761904761905)
(Cambridge,lo,89.75)
(Greater Manchester,mid,44.36866359447004)
(Lyon,lo,36.13235294117647)
(Stockholm,mid,500.2315484804631)
(Bordeaux,mid,45.1364161849711)
(New Orleans,hi,192.14836872087002)
(Florence,lo,29.96153846153846)
(Ottawa,lo,109.54166666666667)
(Dublin,lo,46.107594936708864)
(Valencia,mid,33.54751773049645)
(Malaga,lo,19.0)
(Dublin,mid,66.33905833580101)
(Northern Rivers,mid,124.27716727716728)
(Salem,hi,254.0909090909091)
(Washington,lo,55.00574712643678)
(Copenhagen,lo,307.1746031746032)
(Amsterdam,hi,162.98397349807502)
(New Orleans,lo,69.125)
(Barwon South West,mid,124.63695652173914)
(Paris,hi,105.1387861466039)
(Vaud,mid,76.46843177189409)
(Paris,mid,72.19157608695652)
(London,mid,54.33592363220386)
(Trentino,hi,47.333333333333336)
(Vancouver,mid,81.59465020576131)
(Tasmania,mid,116.14752116082225)
(Asheville,mid,85.8656330749354)
(Chicago,mid,76.34940476190476)
(Amsterdam,mid,101.21498019445444)
(Rome,mid,68.91600423953365)
(Oakland,mid,74.59635416666667)
(Denver,mid,68.18013856812934)
(Barcelona,hi,114.29209370424597)
(Salem,lo,300.0)
(Lyon,mid,52.09322974472808)
(Amsterdam,lo,83.9047619047619)
(Venice,hi,143.14895754835467)
(Milan,hi,117.55307517084283)
(Paris,lo,43.69187675070028)
(Nashville,mid,93.12715855572998)
(Madrid,hi,100.04750391125017)
(Barcelona,lo,48.53030303030303)
(Portland,hi,129.27188226181255)
(Western Australia,mid,84.96069182389937)
(Sicily,mid,57.364788732394366)
(Milan,lo,47.1037037037037)
(Venice,lo,51.457142857142856)
(Rio de Janeiro,hi,375.4196026490066)
(Melbourne,mid,76.52701551048236)
(Prague,mid,627.1452173913043)
(San Francisco,hi,246.0503380916604)
(Seattle,hi,163.8842233009709)
(Sevilla,mid,45.33895705521472)
(Portland,lo,43.142857142857146)
(Madrid,lo,43.6554054054054)
(Geneva,hi,139.5606779661017)
(Santa Cruz County,hi,272.47722342733186)
(Valencia,hi,77.80992268041237)
(Columbus,mid,58.57142857142857)
(Sydney,hi,238.73713143428287)
(Victoria,mid,86.892)
(Rio de Janeiro,lo,163.88548387096773)
(Edinburgh,hi,124.30805344889852)
(San Francisco,lo,52.2375)
(Oakland,hi,150.81414597441685)
(Istanbul,hi,309.96879968203496)
(Northern Rivers,hi,287.9248886059834)
(Geneva,lo,47.52)
(Seattle,lo,57.63636363636363)
(Hong Kong,hi,675.3628738147338)
(Rome,hi,108.98099665606394)
(Edinburgh,mid,56.6872954477834)
(Santa Cruz County,lo,50.0)
(Berlin,hi,80.05836530635973)
(Sydney,lo,56.100371747211895)
(Valencia,lo,72.54545454545455)
(Boston,hi,205.43579595426561)
(Bristol,hi,103.29236739974127)
(Porto,hi,76.83994099207081)
(San Francisco,mid,123.59613059250302)
(London,hi,140.25687644129542)
(Malaga,mid,30.015590200445434)
(Edinburgh,lo,207.98245614035088)
(Bologna,hi,86.58085451595457)
(Northern Rivers,lo,98.44444444444444)
(Euskadi,mid,67.02827763496144)
(Istanbul,lo,132.09158415841586)
(Oakland,lo,44.98290598290598)
(Boston,mid,82.45390070921985)
(Beijing,mid,288.69477911646584)
(Columbus,hi,134.25553662691652)
(Puglia,hi,84.30082739490172)
(Hong Kong,lo,285.3468013468013)
(Los Angeles,mid,78.87597899198379)
(Rome,lo,32.8394495412844)
(Hong Kong,mid,428.74254106604087)
(Bristol,lo,35.166666666666664)
(Boston,lo,63.771929824561404)
(Berlin,lo,35.227053140096615)
(Porto,lo,19.84090909090909)
(London,lo,43.264116575591984)
(Cape Town,hi,684.921400417343)
(Washington,mid,97.1769014084507)
(Bologna,lo,21.019607843137255)
(Euskadi,hi,128.7754475703325)
(Puglia,lo,36.082191780821915)
(Austin,mid,98.68471872376155)
(Columbus,lo,57.294117647058826)
(Vaud,hi,146.75324027916253)
(Victoria,hi,154.9604700854701)
(New Orleans,mid,109.47368421052632)
(Barcelona,mid,50.19704198473283)
(Cape Town,lo,367.302752293578)
(Bergamo,mid,63.38235294117647)
(Geneva,mid,78.84151472650771)
(Vienna,hi,85.8801238841319)
(Melbourne,hi,181.61005878510778)
(Euskadi,lo,30.05263157894737)
(San Diego,mid,88.85243198680956)
(Portland,mid,69.45473908413206)
(Sicily,hi,77.87576408947403)
(Victoria,lo,68.6)
(Oslo,mid,456.8445945945946)
(Vaud,lo,77.2)
(Bologna,mid,56.96145833333333)
(Denver,hi,157.72852760736197)
(Melbourne,lo,52.395705521472394)
(Cambridge,mid,87.07086614173228)
(Chicago,hi,166.84058790276993)
(Prague,hi,763.1045454545455)
(Vienna,lo,54.16216216216216)
