(Montreal,26.29380952380952,34.17,44.565,4.82,15.6,28.6)
(Naples,23.545714285714286,33.48,44.635000000000005,2.68,17.18,28.78)
(Nashville,27.743333333333332,42.0,60.0,3.4,15.4,27.8)
(New Orleans,27.301904761904762,34.8,49.0,2.5,25.2,46.9)
(New York City,37.65571428571428,56.0,82.5,5.5,19.6,36.7)
(Northern Rivers,28.268095238095235,42.24,54.555,5.42,18.19,33.49)
(Oakland,29.905238095238097,43.0,60.0,5.0,27.83,52.03)
(Oslo,44.107142857142854,63.9,86.055,8.06,25.89,41.99)
(Ottawa,26.839047619047616,36.39000000000001,53.47,5.2,15.810000000000002,28.910000000000004)
(Pacific Grove,33.48809523809524,44.5,60.0,5.0,33.599999999999994,62.199999999999996)
(Paris,33.170476190476194,50.2,66.93,4.24,20.08,34.58)
(Portland,30.686666666666664,42.629999999999995,55.0,5.0,19.200000000000003,35.400000000000006)
(Porto,19.89666666666667,26.0,34.035,3.34,9.1,14.3)
(Prague,17.156190476190474,20.599999999999998,30.06,2.08,13.43,25.13)
(Puglia,24.495714285714286,35.69,45.735,2.24,16.78,27.980000000000004)
(Quebec City,26.455714285714286,34.17,44.565,5.2,15.16,27.759999999999998)
(Rio de Janeiro,19.436190476190475,22.81,29.295,2.04,7.800000000000001,14.200000000000001)
(Rome,28.771904761904764,52.449999999999996,68.62,3.34,20.16,35.86)
(Salem,26.83761904761905,37.0,50.0,5.0,18.8,34.6)
(San Diego,29.853809523809524,43.75,55.0,5.0,21.400000000000002,40.0)
(San Francisco,33.36047619047619,44.5,70.0,5.5,22.8,42.1)
(Santa Cruz County,32.12809523809524,44.0,60.0,4.0,27.7,51.9)
(Seattle,33.77238095238095,44.5,60.0,5.5,19.400000000000002,36.2)
(Sevilla,22.136190476190475,32.58,41.285,3.12,13.549999999999999,23.75)
(Sicily,23.444761904761908,29.02,40.175,3.12,14.95,23.85)
(Stockholm,30.424761904761905,39.89,62.01,7.56,20.53,36.33)
(Sydney,27.763809523809524,41.53,56.31,5.64,18.57,33.97)
(Taipei,18.186666666666667,14.22,20.7,1.3,10.360000000000001,18.46)
(Tasmania,25.46238095238095,34.49,50.67,4.22,17.13,31.23)
(Thessaloniki,20.963809523809523,32.910000000000004,41.845,2.24,12.17,20.77)
(Tokyo,26.904285714285713,27.78,41.445,3.54,41.09,77.79)
(Toronto,30.338571428571427,43.65,59.43,4.82,15.97,28.97)
(Trentino,28.856190476190474,47.349999999999994,61.35,3.34,18.880000000000003,32.18)
(Twin Cities MSA,29.500476190476192,42.5,60.0,4.5,28.3,51.6)
(Vancouver,27.155238095238094,34.910000000000004,51.99,4.38,16.6,30.6)
(Vaud,45.742380952380955,67.65,96.08500000000001,5.88,45.57,84.77000000000001)
(Venice,28.986190476190476,47.41,61.35,3.34,21.75,36.25)
(Victoria,27.934761904761903,34.910000000000004,44.565,3.72,17.5,32.4)
(Vienna,27.59809523809524,35.15,49.655,5.36,19.900000000000002,35.5)
(Washington,35.05714285714286,47.0,70.5,5.0,16.9,30.3)
(Western Australia,28.27285714285714,42.589999999999996,60.709999999999994,6.26,15.55,27.65)
